,Player_ID,Name,YrStart,YrEnd,Pos,Height,Weight,Birth_date,College
1227,fergude01,Desmond Ferguson,2004,2004,G-F,6-7,203,"July 22, 1977",University of Detroit Mercy
1228,fergute01,Terrance Ferguson,2018,2018,G-F,6-7,184,"May 17, 1998",
1229,fernaru01,Rudy Fernandez,2009,2012,G,6-6,185,"April 4, 1985",
1230,fernser01,Eric Fernsten,1976,1984,C-F,6-10,205,"November 1, 1953",University of San Francisco
1231,ferraal01,Al Ferrari,1956,1963,G-F,6-4,190,"July 6, 1933",Michigan State University
1232,ferrero01,Rolando Ferreira,1989,1989,C,7-1,240,"May 24, 1964",University of Houston
1233,ferredu01,Duane Ferrell,1989,1999,F-G,6-7,209,"February 28, 1965",Georgia Institute of Technology
1234,ferreyo01,Yogi Ferrell,2017,2018,G,6-0,180,"May 9, 1993",Indiana University
1235,ferriar01,Arnie Ferrin,1949,1951,F-G,6-2,180,"July 29, 1925",University of Utah
1236,ferrybo01,Bob Ferry,1960,1969,C-F,6-8,230,"May 31, 1937",Saint Louis University
1237,ferryda01,Danny Ferry,1991,2003,F,6-10,230,"October 17, 1966",Duke University
1238,fesenky01,Kyrylo Fesenko,2008,2012,C,7-1,288,"December 24, 1986",
1239,fieldbo01,Bobby Fields,1972,1972,G,6-3,175,"October 20, 1949",La Salle University
1240,fieldke01,Kenny Fields,1985,1988,F-G,6-5,220,"February 9, 1962","University of California, Los Angeles"
1241,fieldla01,Landry Fields,2011,2015,F,6-7,210,"June 27, 1988",Stanford University
1242,filipro01,Ron Filipek,1968,1968,F,6-5,205,"February 5, 1944",Tennessee Technological University
1243,fillmgr01,Greg Fillmore,1971,1972,C,7-1,240,"March 7, 1947",Cheyney University of Pennsylvania
1244,finchla01,Larry Finch,1974,1975,G,6-2,185,"February 16, 1951",University of Memphis
1245,finkeha01,Hank Finkel,1967,1975,C,7-0,240,"April 20, 1942",University of Dayton
1246,finlemi01,Michael Finley,1996,2010,G-F,6-7,215,"March 6, 1973",University of Wisconsin
1247,finnda01,Danny Finn,1953,1955,G,6-1,185,"May 29, 1928",St. John's University
1248,finnedo01,Dorian Finney-Smith,2017,2018,F,6-8,220,"May 4, 1993",University of Florida
1249,fishma01,Matt Fish,1995,1997,C,6-11,235,"November 18, 1969",University of North Carolina at Wilmington
